
Date/Time,076 [°C],076 [m/s],657 [°C],657 [m/s],
14/03/2022 15:36:55,23.6,0.00,23.2,0.00,
14/03/2022 15:36:56,23.7,0.00,23.2,0.00,
14/03/2022 15:36:57,23.7,0.00,23.2,0.00,
14/03/2022 15:36:58,23.6,0.00,23.2,0.00,
14/03/2022 15:36:59,23.6,0.52,23.2,1.15,
14/03/2022 15:37:00,23.6,1.00,23.2,1.96,
14/03/2022 15:37:01,23.6,0.94,23.2,1.79,
14/03/2022 15:37:02,23.6,0.97,23.2,1.83,
14/03/2022 15:37:03,23.6,0.99,23.2,1.83,
14/03/2022 15:37:04,23.6,0.93,23.2,1.84,
14/03/2022 15:37:05,23.6,0.98,23.2,1.85,
14/03/2022 15:37:06,23.6,0.96,23.2,1.86,
14/03/2022 15:37:07,23.6,0.97,23.2,1.85,
14/03/2022 15:37:08,23.6,0.97,23.2,1.85,
14/03/2022 15:37:09,23.6,0.98,23.2,1.88,
14/03/2022 15:37:10,23.6,0.97,23.2,1.85,
14/03/2022 15:37:11,23.6,0.99,23.2,1.89,
14/03/2022 15:37:12,23.6,0.99,23.2,1.86,
14/03/2022 15:37:13,23.6,0.98,23.2,1.84,
14/03/2022 15:37:14,23.6,0.95,23.2,1.90,
14/03/2022 15:37:15,23.6,1.00,23.2,1.85,
14/03/2022 15:37:16,23.6,0.97,23.2,1.87,
14/03/2022 15:37:17,23.6,0.97,23.2,1.86,
14/03/2022 15:37:18,23.6,0.99,23.2,1.90,
14/03/2022 15:37:19,23.6,0.96,23.2,1.87,
14/03/2022 15:37:20,23.6,1.00,23.2,1.91,
14/03/2022 15:37:21,23.6,0.99,23.2,1.90,
14/03/2022 15:37:22,23.6,0.97,23.2,1.88,
14/03/2022 15:37:23,23.6,0.98,23.2,1.89,
14/03/2022 15:37:24,23.6,0.95,23.2,1.85,
14/03/2022 15:37:25,23.6,0.96,23.2,1.86,
14/03/2022 15:37:26,23.6,0.97,23.2,1.89,
14/03/2022 15:37:27,23.6,0.95,23.2,1.86,
14/03/2022 15:37:28,23.6,0.96,23.2,1.86,
14/03/2022 15:37:29,23.6,0.99,23.2,1.88,
14/03/2022 15:37:30,23.6,0.96,23.2,1.87,
14/03/2022 15:37:31,23.6,0.96,23.2,1.87,
14/03/2022 15:37:32,23.6,0.98,23.2,1.86,
14/03/2022 15:37:33,23.6,0.95,23.2,1.90,
14/03/2022 15:37:34,23.6,0.99,23.2,1.85,
14/03/2022 15:37:35,23.6,1.00,23.3,1.88,
14/03/2022 15:37:36,23.6,0.99,23.3,1.86,
14/03/2022 15:37:37,23.6,0.99,23.3,1.85,
14/03/2022 15:37:38,23.6,0.98,23.3,1.87,
14/03/2022 15:37:39,23.6,0.99,23.3,1.87,
14/03/2022 15:37:40,23.6,0.96,23.3,1.91,
14/03/2022 15:37:41,23.6,0.97,23.3,1.87,
14/03/2022 15:37:42,23.6,0.98,23.3,1.90,
14/03/2022 15:37:43,23.5,0.97,23.3,1.91,
14/03/2022 15:37:44,23.5,0.96,23.3,1.88,
14/03/2022 15:37:45,23.5,0.97,23.3,1.89,
14/03/2022 15:37:46,23.5,0.99,23.3,1.86,
14/03/2022 15:37:47,23.5,0.95,23.3,1.85,
14/03/2022 15:37:48,23.5,0.99,23.3,1.91,
14/03/2022 15:37:49,23.5,0.99,23.3,1.88,
14/03/2022 15:37:50,23.5,0.98,23.3,1.91,
14/03/2022 15:37:51,23.5,1.00,23.3,1.87,
14/03/2022 15:37:52,23.5,0.98,23.3,1.90,
14/03/2022 15:37:53,23.5,1.00,23.3,1.90,
14/03/2022 15:37:54,23.5,0.96,23.3,1.87,
14/03/2022 15:37:55,23.5,0.95,23.3,1.85,
14/03/2022 15:37:56,23.5,0.94,23.3,1.90,
14/03/2022 15:37:57,23.5,0.94,23.3,1.93,
14/03/2022 15:37:58,23.5,0.99,23.3,1.90,
14/03/2022 15:37:59,23.5,1.00,23.3,1.95,
14/03/2022 15:38:00,23.5,0.97,23.3,1.88,
14/03/2022 15:38:01,23.5,0.95,23.3,1.92,
14/03/2022 15:38:02,23.5,0.96,23.3,1.87,
14/03/2022 15:38:03,23.5,0.96,23.3,1.87,
14/03/2022 15:38:04,23.5,0.98,23.3,1.85,
14/03/2022 15:38:05,23.5,0.98,23.3,1.86,
14/03/2022 15:38:06,23.5,1.02,23.3,1.90,
14/03/2022 15:38:07,23.5,1.00,23.3,1.86,
14/03/2022 15:38:08,23.5,0.97,23.3,1.84,
14/03/2022 15:38:09,23.5,0.96,23.3,1.87,
14/03/2022 15:38:10,23.5,0.93,23.3,1.85,
14/03/2022 15:38:11,23.5,0.95,23.3,1.92,
14/03/2022 15:38:12,23.5,0.96,23.3,1.85,
14/03/2022 15:38:13,23.5,1.00,23.3,1.87,
14/03/2022 15:38:14,23.5,0.97,23.3,1.86,
14/03/2022 15:38:15,23.5,0.97,23.3,1.79,
14/03/2022 15:38:16,23.5,1.02,23.3,1.88,
14/03/2022 15:38:17,23.5,0.97,23.3,1.89,
14/03/2022 15:38:18,23.5,0.96,23.3,1.89,
14/03/2022 15:38:19,23.5,0.97,23.3,1.92,
14/03/2022 15:38:20,23.5,0.97,23.3,1.94,
14/03/2022 15:38:21,23.5,0.98,23.3,1.90,
14/03/2022 15:38:22,23.5,0.97,23.3,1.90,
14/03/2022 15:38:23,23.5,0.95,23.3,1.89,
14/03/2022 15:38:24,23.5,0.94,23.3,1.87,
14/03/2022 15:38:25,23.5,0.99,23.3,1.90,
14/03/2022 15:38:26,23.5,0.94,23.3,1.86,
14/03/2022 15:38:27,23.5,0.95,23.3,1.87,
14/03/2022 15:38:28,23.5,0.98,23.3,1.88,
14/03/2022 15:38:29,23.5,0.99,23.3,1.87,
14/03/2022 15:38:30,23.5,0.96,23.3,1.85,
14/03/2022 15:38:31,23.5,0.96,23.3,1.89,
14/03/2022 15:38:32,23.5,1.00,23.3,1.88,
14/03/2022 15:38:33,23.5,0.95,23.3,1.89,
14/03/2022 15:38:34,23.5,0.93,23.3,1.91,
14/03/2022 15:38:35,23.5,0.96,23.3,1.88,
14/03/2022 15:38:36,23.5,0.99,23.3,1.84,
14/03/2022 15:38:37,23.5,0.97,23.3,1.86,
14/03/2022 15:38:38,23.5,0.98,23.3,1.86,
14/03/2022 15:38:39,23.5,0.98,23.3,1.87,
14/03/2022 15:38:40,23.5,0.95,23.4,1.91,
14/03/2022 15:38:41,23.5,0.95,23.4,1.86,
14/03/2022 15:38:42,23.5,0.98,23.4,1.87,
14/03/2022 15:38:43,23.5,0.97,23.4,1.91,
14/03/2022 15:38:44,23.5,0.97,23.4,1.89,
14/03/2022 15:38:45,23.5,0.95,23.4,1.88,
14/03/2022 15:38:46,23.5,1.00,23.4,1.86,
14/03/2022 15:38:47,23.5,0.95,23.4,1.89,
14/03/2022 15:38:48,23.5,0.95,23.4,1.86,
14/03/2022 15:38:49,23.5,0.96,23.4,1.88,
14/03/2022 15:38:50,23.5,0.97,23.4,1.85,
14/03/2022 15:38:51,23.5,0.95,23.4,1.87,
14/03/2022 15:38:52,23.5,0.96,23.4,1.87,
14/03/2022 15:38:53,23.5,0.96,23.4,1.90,
14/03/2022 15:38:54,23.5,0.98,23.4,1.86,
14/03/2022 15:38:55,23.5,0.98,23.4,1.89,
14/03/2022 15:38:56,23.5,0.99,23.4,1.87,
14/03/2022 15:38:57,23.5,0.97,23.4,1.84,
14/03/2022 15:38:58,23.4,0.96,23.4,1.90,
14/03/2022 15:38:59,23.4,0.98,23.4,1.87,
14/03/2022 15:39:00,23.4,0.96,23.4,1.88,
14/03/2022 15:39:01,23.4,0.97,23.4,1.84,
14/03/2022 15:39:02,23.4,0.97,23.4,1.88,
14/03/2022 15:39:03,23.4,0.92,23.4,1.87,
14/03/2022 15:39:04,23.4,0.94,23.4,1.88,
14/03/2022 15:39:05,23.4,1.00,23.4,1.89,
14/03/2022 15:39:06,23.4,0.97,23.4,1.85,
14/03/2022 15:39:07,23.4,0.96,23.4,1.88,
14/03/2022 15:39:08,23.4,0.95,23.4,1.88,
14/03/2022 15:39:09,23.4,0.96,23.4,1.94,
14/03/2022 15:39:10,23.4,0.99,23.4,1.89,
14/03/2022 15:39:11,23.4,0.99,23.4,1.91,
14/03/2022 15:39:12,23.4,0.98,23.4,1.89,
14/03/2022 15:39:13,23.4,0.95,23.4,1.90,
14/03/2022 15:39:14,23.4,0.96,23.4,1.89,
14/03/2022 15:39:15,23.4,1.01,23.4,1.87,
14/03/2022 15:39:16,23.4,0.99,23.4,1.91,
14/03/2022 15:39:17,23.4,0.97,23.4,1.92,
14/03/2022 15:39:18,23.4,1.01,23.4,1.90,
14/03/2022 15:39:19,23.4,0.97,23.4,1.89,
14/03/2022 15:39:20,23.4,0.98,23.4,1.88,
14/03/2022 15:39:21,23.4,0.97,23.4,1.89,
14/03/2022 15:39:22,23.4,1.01,23.4,1.88,
14/03/2022 15:39:23,23.4,0.97,23.4,1.88,
14/03/2022 15:39:24,23.4,0.96,23.4,1.89,
14/03/2022 15:39:25,23.4,0.97,23.4,1.85,
14/03/2022 15:39:26,23.4,0.99,23.4,1.89,
14/03/2022 15:39:27,23.4,0.97,23.4,1.90,
14/03/2022 15:39:28,23.4,0.96,23.4,1.91,
14/03/2022 15:39:29,23.4,0.97,23.4,1.91,
14/03/2022 15:39:30,23.4,0.96,23.4,1.85,
14/03/2022 15:39:31,23.4,0.96,23.4,1.87,
14/03/2022 15:39:32,23.4,0.97,23.4,1.85,
14/03/2022 15:39:33,23.4,0.92,23.4,1.90,
14/03/2022 15:39:34,23.4,0.98,23.4,1.87,
14/03/2022 15:39:35,23.4,0.95,23.4,1.92,
14/03/2022 15:39:36,23.4,1.02,23.4,1.85,
14/03/2022 15:39:37,23.4,0.98,23.4,1.86,
14/03/2022 15:39:38,23.4,0.96,23.4,1.88,
14/03/2022 15:39:39,23.4,0.95,23.4,1.91,
14/03/2022 15:39:40,23.4,0.97,23.4,1.90,
14/03/2022 15:39:41,23.4,0.95,23.4,1.89,
14/03/2022 15:39:42,23.4,0.96,23.4,1.86,
14/03/2022 15:39:43,23.4,0.99,23.4,1.86,
14/03/2022 15:39:44,23.4,0.95,23.4,1.90,
14/03/2022 15:39:45,23.4,1.00,23.4,1.84,
14/03/2022 15:39:46,23.4,1.01,23.4,1.85,
14/03/2022 15:39:47,23.4,0.97,23.4,1.90,
14/03/2022 15:39:48,23.4,0.98,23.4,1.87,
14/03/2022 15:39:49,23.4,0.96,23.4,1.87,
14/03/2022 15:39:50,23.4,0.98,23.4,1.87,
14/03/2022 15:39:51,23.4,0.97,23.4,1.89,
14/03/2022 15:39:52,23.4,0.96,23.4,1.88,
14/03/2022 15:39:53,23.4,0.99,23.4,1.87,
14/03/2022 15:39:54,23.4,0.97,23.4,1.87,
14/03/2022 15:39:55,23.4,0.97,23.4,1.91,
14/03/2022 15:39:56,23.4,0.96,23.4,1.87,
14/03/2022 15:39:57,23.4,0.98,23.4,1.89,
14/03/2022 15:39:58,23.4,0.97,23.4,1.92,
14/03/2022 15:39:59,23.4,0.95,23.4,1.89,
14/03/2022 15:40:00,23.4,0.99,23.4,1.92,
14/03/2022 15:40:01,23.4,0.96,23.4,1.87,
14/03/2022 15:40:02,23.4,0.98,23.4,1.85,
14/03/2022 15:40:03,23.4,0.98,23.4,1.87,
14/03/2022 15:40:04,23.4,0.99,23.4,1.87,
14/03/2022 15:40:05,23.4,0.95,23.4,1.86,
14/03/2022 15:40:06,23.4,0.96,23.4,1.89,
14/03/2022 15:40:07,23.4,0.95,23.4,1.91,
14/03/2022 15:40:08,23.4,0.99,23.4,1.90,
14/03/2022 15:40:09,23.4,0.98,23.4,1.89,
14/03/2022 15:40:10,23.4,0.95,23.4,1.88,
14/03/2022 15:40:11,23.4,0.97,23.5,1.92,
14/03/2022 15:40:12,23.4,0.95,23.4,1.92,
14/03/2022 15:40:13,23.4,0.97,23.4,1.89,
14/03/2022 15:40:14,23.4,0.96,23.4,1.88,
14/03/2022 15:40:15,23.4,0.97,23.5,1.88,
14/03/2022 15:40:16,23.4,0.99,23.5,1.89,
14/03/2022 15:40:17,23.4,0.96,23.5,1.88,
14/03/2022 15:40:18,23.4,0.98,23.5,1.91,
14/03/2022 15:40:19,23.4,0.96,23.5,1.89,
14/03/2022 15:40:20,23.4,0.97,23.5,1.86,
14/03/2022 15:40:21,23.4,0.96,23.5,1.86,
14/03/2022 15:40:22,23.4,0.99,23.5,1.89,
14/03/2022 15:40:23,23.4,0.95,23.5,1.88,
14/03/2022 15:40:24,23.4,0.98,23.5,1.92,
14/03/2022 15:40:25,23.4,0.97,23.5,1.84,
14/03/2022 15:40:26,23.4,0.95,23.5,1.91,
14/03/2022 15:40:27,23.4,0.96,23.5,1.88,
14/03/2022 15:40:28,23.4,0.96,23.5,1.88,
14/03/2022 15:40:29,23.4,0.97,23.5,1.91,
14/03/2022 15:40:30,23.4,0.93,23.5,1.91,
14/03/2022 15:40:31,23.4,0.97,23.5,1.86,
14/03/2022 15:40:32,23.4,0.98,23.5,1.87,
14/03/2022 15:40:33,23.4,0.95,23.5,1.90,
14/03/2022 15:40:34,23.4,0.95,23.5,1.94,
14/03/2022 15:40:35,23.4,0.96,23.5,1.88,
14/03/2022 15:40:36,23.4,0.96,23.5,1.88,
14/03/2022 15:40:37,23.4,0.97,23.5,1.89,
14/03/2022 15:40:38,23.4,0.95,23.5,1.86,
14/03/2022 15:40:39,23.4,0.97,23.5,1.86,
14/03/2022 15:40:40,23.4,0.97,23.5,1.91,
14/03/2022 15:40:41,23.4,0.93,23.5,1.89,
14/03/2022 15:40:42,23.4,0.98,23.5,1.87,
14/03/2022 15:40:43,23.4,1.01,23.5,1.87,
14/03/2022 15:40:44,23.4,0.93,23.5,1.87,
14/03/2022 15:40:45,23.4,0.98,23.5,1.88,
14/03/2022 15:40:46,23.4,0.95,23.5,1.88,
14/03/2022 15:40:47,23.4,0.98,23.5,1.90,
14/03/2022 15:40:48,23.4,0.98,23.5,1.88,
14/03/2022 15:40:49,23.4,0.95,23.5,1.90,
14/03/2022 15:40:50,23.4,0.98,23.5,1.88,
14/03/2022 15:40:51,23.4,0.97,23.5,1.86,
14/03/2022 15:40:52,23.4,0.96,23.5,1.90,
14/03/2022 15:40:53,23.4,0.94,23.5,1.84,
14/03/2022 15:40:54,23.4,0.94,23.5,1.88,
14/03/2022 15:40:55,23.4,0.96,23.5,1.87,
14/03/2022 15:40:56,23.4,0.97,23.5,1.85,
14/03/2022 15:40:57,23.4,0.95,23.5,1.88,
14/03/2022 15:40:58,23.4,0.95,23.5,1.86,
14/03/2022 15:40:59,23.4,0.95,23.5,1.91,
14/03/2022 15:41:00,23.4,1.00,23.5,1.90,
14/03/2022 15:41:01,23.4,0.99,23.5,1.91,
14/03/2022 15:41:02,23.4,0.96,23.5,1.87,
14/03/2022 15:41:03,23.4,0.98,23.5,1.88,
14/03/2022 15:41:04,23.4,0.96,23.5,1.90,
14/03/2022 15:41:05,23.4,0.96,23.5,1.86,
14/03/2022 15:41:06,23.4,0.96,23.5,1.86,
14/03/2022 15:41:07,23.4,0.97,23.5,1.83,
14/03/2022 15:41:08,23.4,0.98,23.5,1.88,
14/03/2022 15:41:09,23.4,0.94,23.5,1.85,
14/03/2022 15:41:10,23.4,0.95,23.5,1.88,
14/03/2022 15:41:11,23.4,0.61,23.5,1.50,
14/03/2022 15:41:12,23.4,0.38,23.5,0.92,
14/03/2022 15:41:13,23.4,0.25,23.5,0.65,
14/03/2022 15:41:14,23.4,0.16,23.5,0.37,
