,,,,,,
x,vL0.0399,vel0.0399,vel0.04,"18564668311833500,00",mitjana,
0,"18891626610924700,0000000","1,889162661","1,8564668312","18566247275106100,00","1,8728147461","18728147461379100,0000000"
0.01,"18894093369755100,0000000","1,889409337","1,8566247275","18578321123980900,00","1,8730170322","18730170322430600,0000000"
0.02,"18907444558192100,0000000","1,890744456","1,8578321124","18600681591313000,00","1,8742882841","18742882841086500,0000000"
0.03,"18931417971904000,0000000","1,893141797","1,8600681591","18628142982938100,00","1,8766049782","18766049781608500,0000000"
0.04,"18959200652825700,0000000","1,895920065","1,8628142983","18650192181594100,00","1,8793671818","18793671817881900,0000000"
0.05,"18983638375393100,0000000","1,898363838","1,8650192182","18651980831061800,00","1,8816915278","18816915278493600,0000000"
0.06,"18987475034524400,0000000","1,898747503","1,8651980831","18622293695291600,00","1,8819727933","18819727932793100,0000000"
0.07,"18957728895552300,0000000","1,89577289","1,8622293695","18553174139710100,00","1,8790011295","18790011295421900,0000000"
0.08,"18883453612148600,0000000","1,888345361","1,8553174140","18456835468110900,00","1,8718313876","18718313875929300,0000000"
0.09,"18755353398216100,0000000","1,87553534","1,8456835468","18298073560928200,00","1,8606094433","18606094433163500,0000000"
0.1,"18573135791318000,0000000","1,857313579","1,8298073561","18067039504126600,00","1,8435604676","18435604676123100,0000000"
0.11,"18281040880434400,0000000","1,828104088","1,8067039504","17741803664481100,00","1,8174040192","18174040192280500,0000000"
0.12,"17848785933841600,0000000","1,784878593","1,7741803664","16925908543806000,00","1,7795294799","17795294799161400,0000000"
0.13,"16938343121693700,0000000","1,693834312","1,6925908544","15793515086681300,00","1,6932125833","16932125832749900,0000000"
0.14,"15746338521987500,0000000","1,574633852","1,5793515087","14657732039460100,00","1,5769926804","15769926804334400,0000000"
0.15,"14554512249623200,0000000","1,455451225","1,4657732039","13652611648985100,00","1,4606122145","14606122144541600,0000000"
0.16,"13537646536025800,0000000","1,353764654","1,3652611649","12819896920333700,00","1,3595129093","13595129092505500,0000000"
0.17,"12665448629889300,0000000","1,266544863","1,2819896920","12173242882000100,00","1,2742672775","12742672775111500,0000000"
0.18,"12022328745767900,0000000","1,202232875","1,2173242882","11700154036171200,00","1,2097785814","12097785813884000,0000000"
0.19,"11551684130821000,0000000","1,155168413","1,1700154036","11342180141882400,00","1,1625919083","11625919083496100,0000000"
0.2,"11202595271470200,0000000","1,120259527","1,1342180142","11083744950842700,00","1,1272387707","11272387706676300,0000000"
0.21,"10944738168326300,0000000","1,094473817","1,1083744951","10916427147551700,00","1,1014241560","11014241559584500,0000000"
0.22,"10771007097746300,0000000","1,07710071","1,0916427148","10792955677288700,00","1,0843717123","10843717122649000,0000000"
0.23,"10643705775140200,0000000","1,064370578","1,0792955677","10704232043348400,00","1,0718330726","10718330726214500,0000000"
0.24,"10575938125331100,0000000","1,057593813","1,0704232043","10647542590309400,00","1,0640085084","10640085084339800,0000000"
0.25,"10524791446450200,0000000","1,052479145","1,0647542590","10621230432293700,00","1,0586167018","10586167018379800,0000000"
0.26,"10487562212889000,0000000","1,048756221","1,0621230432","10599894577915900,00","1,0554396323","10554396322591400,0000000"
0.27,"10478891440275900,0000000","1,047889144","1,0599894578","10600334396395600,00","1,0539393009","10539393009095900,0000000"
0.28,"10475719448800700,0000000","1,047571945","1,0600334396","10590927202636700,00","1,0538026923","10538026922598200,0000000"
0.29,"10481763621925100,0000000","1,048176362","1,0590927203","10598901204497600,00","1,0536345412","10536345412280900,0000000"
0.3,"10492352530734100,0000000","1,049235253","1,0598901204","10607851064611400,00","1,0545626868","10545626867615900,0000000"
0.31,"10498735020238000,0000000","1,049873502","1,0607851065","10615802099303200,00","1,0553293042","10553293042424700,0000000"
0.32,"10512456477218900,0000000","1,051245648","1,0615802099","10618424704900700,00","1,0564129288","10564129288261000,0000000"
0.33,"10521380117444900,0000000","1,052138012","1,0618424705","10619368729002600,00","1,0569902411","10569902411172800,0000000"
0.34,"10532759448012900,0000000","1,053275945","1,0619368729","10621802844665200,00","1,0576064089","10576064088507800,0000000"
35.000.000.000.000.000,"10535183582742000,0000000","1,053518358","1,0621802845","10619770796181900,00","1,0578493214","10578493213703600,0000000"
0.36,"10539848018040900,0000000","1,053984802","1,0619770796","10610047246961300,00","1,0579809407","10579809407111400,0000000"
0.37,"10539286995620000,0000000","1,0539287","1,0610047247","10603486410775700,00","1,0574667121","10574667121290700,0000000"
0.38,"10536935724771100,0000000","1,053693572","1,0603486411","10588301679318600,00","1,0570211068","10570211067773400,0000000"
0.39,"10527641181503200,0000000","1,052764118","1,0588301679","10573313284663100,00","1,0557971430","10557971430410900,0000000"
0.4,"10518084826323500,0000000","1,051808483","1,0573313285","10551024166470000,00","1,0545699055","10545699055493300,0000000"
41.000.000.000.000.000,"10499545281237300,0000000","1,049954528","1,0551024166","10525799972782500,00","1,0525284724","10525284723853700,0000000"
0.42,"10480191937651800,0000000","1,048019194","1,0525799973","10494112773157600,00","1,0502995955","10502995955217200,0000000"
0.43,10454006258863890,"1,045400626","1,0494112773","10457969556411000,00","1,0474059516","10474059516010700,0000000"
0.44,"10425501058518200,0000000","1,042550106","1,0457969556","10419706317328600,00","1,0441735307","10441735307464600,0000000"
