,,,,,,
,,,,,,
,,,vel04,,,vel035
,0,"18821666247137400,00","1,882166625",0,"18821666247143700,00","1,882166625"
,0.01,"17656285215730400,00","1,765628522",0.01,"17833658958661200,00","1,783365896"
,0.02,"15360456899119600,00","1,53604569",0.02,"15420214101215900,00","1,54202141"
,0.03,"14025184598330700,00","1,40251846",0.03,"12714797139540700,00","1,271479714"
,0.04,"12969613184390300,00","1,296961318",0.04,"11146844877457500,00","1,114684488"
,0.05,"12251913306881300,00","1,225191331",0.05,"10549349372984200,00","1,054934937"
,0.06,"12076395193631300,00","1,207639519",0.06,"10415059205860200,00","1,041505921"
,0.07,"11917710964250000,00","1,191771096",0.07,"10309580767644000,00","1,030958077"
,0.08,"11765257372553500,00","1,176525737",0.08,"10220200491155000,00","1,022020049"
,0.09,"11593810291581500,00","1,159381029",0.09,"10160603632041700,00","1,016060363"
,0.1,"11588560984385000,00","1,158856098",0.1,"10061720568990500,00","1,006172057"
,0.11,"11468929443570400,00","1,146892944",0.11,"10094519543827000,00","1,009451954"
,0.12,"11384942173807300,00","1,138494217",0.12,"10117111976040700,00","1,011711198"
,0.13,"11313459367275200,00","1,131345937",0.13,"10058659681909800,00","1,005865968"
,0.14,"11219025194288700,00","1,121902519",0.14,"10037814726284600,00","1,003781473"
,0.15,"11169146135347900,00","1,116914614",0.15,"10027894080662100,00","1,002789408"
,0.16,"11148990968393900,00","1,114899097",0.16,"9995667755126740,00","0,9995667755"
,0.17,"11195804615520500,00","1,119580462",0.17,"9992634804104770,00","0,9992634804"
,0.18,"11223025699658000,00","1,12230257",0.18,"9977472922193040,00","0,9977472922"
,0.19,"11308843095121200,00","1,13088431",0.19,"9955620105908330,00","0,9955620106"
,0.2,"11324882918747500,00","1,132488292",0.2,"9933826050394570,00","0,993382605"
,0.21,"11350532634052300,00","1,135053263",0.21,"9933372021865230,00","0,9933372022"
,0.22,"11314537572335400,00","1,131453757",0.22,"9931917784220150,00","0,9931917784"
,0.23,"11291180192277000,00","1,129118019",0.23,"9934029619087170,00","0,9934029619"
,0.24,"11274100259681700,00","1,127410026",0.24,"9929720385906730,00","0,9929720386"
,0.25,"11285539291068200,00","1,128553929",0.25,"9923731104471230,00","0,9923731104"
,0.26,"11273650000463600,00","1,127365",0.26,"9931642363150730,00","0,9931642363"
,0.27,"11252743210821700,00","1,125274321",0.27,"9926956686210930,00","0,9926956686"
,0.28,"11261057554087500,00","1,126105755",0.28,"9938499082316420,00","0,9938499082"
,0.29,"11251485112061700,00","1,125148511",0.29,"9952788637081170,00","0,9952788637"
,0.3,"11229920311711600,00","1,122992031",0.3,"9952078674006880,00","0,9952078674"
,0.31,"11252022578465600,00","1,125202258",0.31,"9944606818459330,00","0,9944606818"
,0.32,"11236035462382600,00","1,123603546",0.32,"9934965479485190,00","0,9934965479"
,0.33,"11271459123795900,00","1,127145912",0.33,"9919553178901670,00","0,9919553179"
,0.34,"11343087453336400,00","1,134308745",0.34,"9831585025826370,00","0,9831585026"
,35.000.000.000.000.000,"11296335328479900,00","1,129633533",35.000.000.000.000.000,"9771116271849700,00","0,9771116272"
,0.36,"11307156290383800,00","1,130715629",0.36,"9738171698948250,00","0,9738171699"
,0.37,"11262327087824900,00","1,126232709",0.37,"9747135416933420,00","0,9747135417"
,0.38,"11254400533392300,00","1,125440053",0.38,"9761584260428830,00","0,976158426"
,0.39,"11270154995648200,00","1,1270155",0.39,"9776223410898190,00","0,9776223411"
,0.4,"11255615850996200,00","1,125561585",0.4,"9730856539866650,00","0,973085654"
,41.000.000.000.000.000,"11198246552610600,00","1,119824655",41.000.000.000.000.000,"9720880731038160,00","0,9720880731"
,0.42,"11206236138618800,00","1,120623614",0.42,"9722073185006460,00","0,9722073185"
,0.43,"11218709384636500,00","1,121870938",0.43,"9758972735763000,00","0,9758972736"
,0.44,"11314953231114800,00","1,131495323",0.44,"9837669625370500,00","0,9837669625"
,0.45,"11392480866617200,00","1,139248087",0.45,"9859914109654060,00","0,985991411"
,0.46,"11387757552570200,00","1,138775755",0.46,"9872886329401630,00","0,9872886329"
,47.000.000.000.000.000,"11348816076210900,00","1,134881608",47.000.000.000.000.000,"9871233309506680,00","0,987123331"
,0.48,"11318704479527400,00","1,131870448",0.48,"9849481322587320,00","0,9849481323"
,0.49,"11305109302687000,00","1,13051093",0.49,"9812087786882790,00","0,9812087787"
,0.5,"11305191842636500,00","1,130519184",0.5,"9797025541597290,00","0,9797025542"
,0.51,"11276523701587500,00","1,12765237",0.51,"9831329227850180,00","0,9831329228"
,0.52,"11291823159690200,00","1,129182316",0.52,"9835964030657500,00","0,9835964031"
,0.53,"11304598485916100,00","1,130459849",0.53,"9827048645442020,00","0,9827048645"
,0.54,"11115684959520100,00","1,111568496",0.54,"9838374350615010,00","0,9838374351"
,0.55,"11046992306402100,00","1,104699231",0.55,"9881307880987190,00","0,9881307881"
,0.56,"11092710600142400,00","1,10927106",0.56,"9868491994546030,00","0,9868491995"
,5.700.000.000.000.000,"11163723704520100,00","1,11637237",5.700.000.000.000.000,"9863804099793130,00","0,98638041"
,0.58,"11254491558326000,00","1,125449156",0.58,"9848377829882760,00","0,984837783"
,0.59,"11252221350160800,00","1,125222135",0.59,"9867270907557540,00","0,9867270908"
,0.6,"11232758038680400,00","1,123275804",0.6,"9916812882663250,00","0,9916812883"
,0.61,"11324487260644300,00","1,132448726",0.61,"9902879728919910,00","0,9902879729"
,0.62,"11334696161795100,00","1,133469616",0.62,"9870661308357240,00","0,9870661308"
,0.63,"11360521060430700,00","1,136052106",0.63,"9879485068612360,00","0,9879485069"
,0.64,"11365489543348200,00","1,136548954",0.64,"9879998794385490,00","0,9879998794"
,0.65,"11346518538061100,00","1,134651854",0.65,"9872085191295390,00","0,9872085191"
,0.66,"11362710256683100,00","1,136271026",0.66,"9873331432574930,00","0,9873331433"
,0.67,"11246855628662900,00","1,124685563",0.67,"9859185651824480,00","0,9859185652"
,0.68,"11136006718724700,00","1,113600672",0.68,"9848001437820620,00","0,9848001438"
,6.900.000.000.000.000,"11105861018484800,00","1,110586102",6.900.000.000.000.000,"9846115705399190,00","0,9846115705"
,7.000.000.000.000.000,"11098770957704600,00","1,109877096",7.000.000.000.000.000,"9849377629115350,00","0,9849377629"
,0.71,"11075745790828000,00","1,107574579",0.71,"9849460810424850,00","0,984946081"
,0.72,"11167580967213300,00","1,116758097",0.72,"9789791199016030,00","0,9789791199"
,0.73,"11229379300639000,00","1,12293793",0.73,"9759515628756860,00","0,9759515629"
,0.74,"11217502458773200,00","1,121750246",0.74,"9806447427544200,00","0,9806447428"
,0.75,"11223247677191500,00","1,122324768",0.75,"9787247596098760,00","0,9787247596"
,0.76,"11245619505136900,00","1,124561951",0.76,"9794959976231690,00","0,9794959976"
,0.77,"11247789139087200,00","1,124778914",0.77,"9797018691462510,00","0,9797018691"
,0.78,"11271170422468100,00","1,127117042",0.78,"9798335104807460,00","0,9798335105"
,0.79,"11268470212141900,00","1,126847021",0.79,"9819698534193990,00","0,9819698534"
,0.8,"11221837780251600,00","1,122183778",0.8,"9808876232445770,00","0,9808876232"
,0.81,"11216035622819300,00","1,121603562",0.81,"9825534482245640,00","0,9825534482"
,8.200.000.000.000.000,"11204484476938400,00","1,120448448",8.200.000.000.000.000,"9814806939105280,00","0,9814806939"
,8.300.000.000.000.000,"11221650245942300,00","1,122165025",8.300.000.000.000.000,"9830560342669230,00","0,9830560343"
,0.84,"11222823290134100,00","1,122282329",0.84,"9819502653323030,00","0,9819502653"
,0.85,"11222638356703400,00","1,122263836",0.85,"9816609399063910,00","0,9816609399"
,0.86,"11213358532185000,00","1,121335853",0.86,"9819434141437380,00","0,9819434141"
,0.87,"11184677601006100,00","1,11846776",0.87,"9855930762725670,00","0,9855930763"
,0.88,"11141796212321500,00","1,114179621",0.88,"9840880258583150,00","0,9840880259"
,0.89,"11163906093740100,00","1,116390609",0.89,"9872482052473440,00","0,9872482052"
,0.9,"11150450794174500,00","1,115045079",0.9,"9863544667540410,00","0,9863544668"
,0.91,"11185353897724800,00","1,11853539",0.91,"9863736660447230,00","0,986373666"
,0.92,"11157420178749900,00","1,115742018",0.92,"9913910977437770,00","0,9913910977"
,0.93,"11269218816773200,00","1,126921882",0.93,"9826089083789580,00","0,9826089084"
,9.400.000.000.000.000,"11353929826763100,00","1,135392983",9.400.000.000.000.000,"9762135380423740,00","0,976213538"
,9.500.000.000.000.000,"11410424040898400,00","1,141042404",9.500.000.000.000.000,"9747133960521020,00","0,9747133961"
,0.96,"11385416173489100,00","1,138541617",0.96,"9756260649459000,00","0,9756260649"
