,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,"y=0.04, x=0.0399",,"y=0.06, x=0.0399",,"y=0.05, x=0.0399",,"y=0.035, x=0.0399",,"y=0.06, x=0.04",,"y=0.065, x=0.04",,"y=0.05, x=0.04",
0,"18997965418504700,0000000","1,89979654185","18997965418504700,0000000","1,899796542","18997965418504700,0000000","1,89979654185","18997965418504700,0000000","1,8997965419","18989219353479000,0000000","1,8989219353","19047745415406000,0000000","1,90477454154","18989219353479000,0000000","1,8989219353"
0.01,"18982487584888400,0000000","1,89824875849","18990547943420600,0000000","1,899054794","18999515838534900,0000000","1,89995158385","18928822552974200,0000000","1,8928822553","18979177394452600,0000000","1,8979177394","18989517886504600,0000000","1,89895178865","18990445449061100,0000000","1,8990445449"
0.02,"18987456541985000,0000000","1,89874565420","19010475217589900,0000000","1,901047522","19011046418010200,0000000","1,90110464180","19006658569290400,0000000","1,9006658569","18985464633357300,0000000","1,8985464633","19010618866088800,0000000","1,90106188661","19001675820497300,0000000","1,9001675820"
0.03,"19018654683232700,0000000","1,90186546832","19089501836862600,0000000","1,908950184","19034016895886200,0000000","1,90340168959","18958702210741700,0000000","1,8958702211","19014125517475400,0000000","1,9014125517","19018486193290500,0000000","1,90184861933","19023016846968300,0000000","1,9023016847"
0.04,"19047209831634400,0000000","1,90472098316","19128961828584000,0000000","1,912896183","19062123024795100,0000000","1,90621230248","18958193963611100,0000000","1,8958193964","19053920278152900,0000000","1,9053920278","19013231544081100,0000000","1,90132315441","19049684660820900,0000000","1,9049684661"
0.05,"19054523269998200,0000000","1,90545232700","19102339828981800,0000000","1,910233983","19084977550098300,0000000","1,90849775501","19022075058097400,0000000","1,9022075058","19064237984906800,0000000","1,9064237985","19069196200722800,0000000","1,90691962007","19071289797090000,0000000","1,9071289797"
0.06,"19021943590612200,0000000","1,90219435906","18895482969991900,0000000","1,889548297","19087011871697000,0000000","1,90870118717","18976364770484800,0000000","1,8976364770","19030303320139500,0000000","1,9030303320","19034124317765100,0000000","1,90341243178","19072724424950900,0000000","1,9072724425"
0.07,"18926243799132400,0000000","1,89262437991","18305987126347100,0000000","1,830598713","19055242482062500,0000000","1,90552424821","18882127601555600,0000000","1,8882127602","18938132658708200,0000000","1,8938132659","18925160641880300,0000000","1,89251606419","19042323366744000,0000000","1,9042323367"
0.08,"18776434764225900,0000000","1,87764347642","17177717220146300,0000000","1,717771722","18983307551064700,0000000","1,89833075511","18687597554152400,0000000","1,8687597554","18788693278092000,0000000","1,8788693278","18734934717758400,0000000","1,87349347178","18971440977667200,0000000","1,8971440978"
0.09,"18586387651540400,0000000","1,85863876515","15643788362865800,0000000","1,564378836","18876174731899400,0000000","1,88761747319","18435224421640900,0000000","1,8435224422","18594740799987900,0000000","1,8594740800","18486143538037400,0000000","1,84861435380","18872245238426700,0000000","1,8872245238"
