Per al cas laminar,,,,,,
,0.04,,0.36,,0.37,
0,"18981916367394600,0000000","1,89819163674","18911292830598200,0000000","1,89112928306","18911292830600300,0000000","1,8911292831"
0.01,"17799394980757800,0000000","1,77993949808","17852249258909600,0000000","1,78522492589","17645136033446500,0000000","1,7645136033"
0.02,"15474157367517400,0000000","1,54741573675","15824690270318700,0000000","1,58246902703","15437619584751600,0000000","1,5437619585"
0.03,"14122029145419500,0000000","1,41220291454","13119308732719500,0000000","1,31193087327","13242575226632700,0000000","1,3242575227"
0.04,"13055754781289800,0000000","1,30557547813","11696962414107700,0000000","1,16969624141","12374063069127600,0000000","1,2374063069"
0.05,"12331116533613000,0000000","1,23311165336","11033107667197700,0000000","1,10331076672","11586684849163800,0000000","1,1586684849"
0.06,"12153424226878500,0000000","1,21534242269","10668490849196500,0000000","1,06684908492","11277144691612500,0000000","1,1277144692"
0.07,"11992959881484400,0000000","1,19929598815","10594026948097700,0000000","1,05940269481","11154927888280600,0000000","1,1154927888"
0.08,"11839109180418400,0000000","1,18391091804","10510381097815300,0000000","1,05103810978","11073725629918400,0000000","1,1073725630"
0.09,"11666499296982100,0000000","1,16664992970","10459308831302100,0000000","1,04593088313","10933010912814000,0000000","1,0933010913"
0.1,"11661208744630300,0000000","1,16612087446","10379105917609400,0000000","1,03791059176","10757643394872500,0000000","1,0757643395"
0.11,"11541248755994500,0000000","1,15412487560","10318451896003800,0000000","1,03184518960","10577448889598400,0000000","1,0577448890"
0.12,"11456978117615500,0000000","1,14569781176","10353035538248700,0000000","1,03530355382","10621696065946000,0000000","1,0621696066"
0.13,"11385380393132800,0000000","1,13853803931","10361792384370600,0000000","1,03617923844","10633434417447300,0000000","1,0633434417"
0.14,"11291143601334200,0000000","1,12911436013","10265073258151100,0000000","1,02650732582","10489006579900200,0000000","1,0489006580"
0.15,"11241431474099000,0000000","1,12414314741","10251350000785100,0000000","1,02513500008","10451559317759600,0000000","1,0451559318"
0.16,"11221219903162000,0000000","1,12212199032","10242634682631700,0000000","1,02426346826","10423014821856200,0000000","1,0423014822"
0.17,"11267978667527600,0000000","1,12679786675","10232030123103400,0000000","1,02320301231","10505420110433800,0000000","1,0505420110"
0.18,"11294894900457600,0000000","1,12948949005","10257556291020000,0000000","1,02575562910","10566837280776300,0000000","1,0566837281"
0.19,"11380679391928400,0000000","1,13806793919","10219605250576300,0000000","1,02196052506","10577390212769600,0000000","1,0577390213"
0.2,"11396718665248100,0000000","1,13967186652","10111135052746100,0000000","1,01111350527","10627902579970000,0000000","1,0627902580"
0.21,"11422358391492300,0000000","1,14223583915","10026880090598300,0000000","1,00268800906","10576435296482400,0000000","1,0576435296"
0.22,"11386355890751400,0000000","1,13863558908","10017364870716100,0000000","1,00173648707","10477374649060600,0000000","1,0477374649"
0.23,"11362987070132600,0000000","1,13629870701","10111806671255600,0000000","1,01118066713","10387525774380400,0000000","1,0387525774"
0.24,"11345901039206300,0000000","1,13459010392","10093734780021600,0000000","1,00937347800","10327586319339300,0000000","1,0327586319"
0.25,"11357481624028100,0000000","1,13574816240","10094611119280700,0000000","1,00946111193","10325071871540500,0000000","1,0325071872"
0.26,"11345513889011700,0000000","1,13455138890","10068890858258900,0000000","1,00688908583","10328877187199300,0000000","1,0328877187"
0.27,"11324537780250800,0000000","1,13245377803","10044679501877600,0000000","1,00446795019","10359583146830800,0000000","1,0359583147"
0.28,"11332858684751200,0000000","1,13328586848","10002930994953100,0000000","1,00029309950","10354083432895900,0000000","1,0354083433"
0.29,"11323225949978300,0000000","1,13232259500","10027536929679700,0000000","1,00275369297","10418673774600900,0000000","1,0418673775"
0.3,"11301664491133900,0000000","1,13016644911","10103790868381600,0000000","1,01037908684","10391737578148000,0000000","1,0391737578"
0.31,"11323829692292800,0000000","1,13238296923","10139158356041000,0000000","1,01391583560","10439013808176200,0000000","1,0439013808"
0.32,"11307957562739700,0000000","1,13079575627","10231956303102100,0000000","1,02319563031","10442425775754400,0000000","1,0442425776"
0.33,"11343322679162400,0000000","1,13433226792","10266998695797100,0000000","1,02669986958","10432005746389100,0000000","1,0432005746"
0.34,"11414896643496800,0000000","1,14148966435","10198673160419500,0000000","1,01986731604","10446459046222100,0000000","1,0446459046"
35.000.000.000.000.000,"11368211074263000,0000000","1,13682110743","10088858184187900,0000000","1,00888581842","10437226689394900,0000000","1,0437226689"
0.36,"11379016542490300,0000000","1,13790165425","10047766342953700,0000000","1,00477663430","10452363960224700,0000000","1,0452363960"
0.37,"11334338888428900,0000000","1,13343388884","10023466330849700,0000000","1,00234663308","10446265671412300,0000000","1,0446265671"
0.38,"11326452849530000,0000000","1,13264528495","10076171618600100,0000000","1,00761716186","10448546779510800,0000000","1,0448546780"
0.39,"11342219856338000,0000000","1,13422198563","10232749725021600,0000000","1,02327497250","10429842374560700,0000000","1,0429842375"
0.4,"11327648417418900,0000000","1,13276484174","10245002474466700,0000000","1,02450024745","10420131512394900,0000000","1,0420131512"
41.000.000.000.000.000,"11270625460384700,0000000","1,12706254604","10255907390701800,0000000","1,02559073907","10422331121513400,0000000","1,0422331122"
0.42,"11278801941002700,0000000","1,12788019410","10211695799338700,0000000","1,02116957993","10400499050816900,0000000","1,0400499051"
0.43,"11291043579815000,0000000","1,12910435798","10176172754448400,0000000","1,01761727544","10441321706282000,0000000","1,0441321706"
0.44,"11386969731313700,0000000","1,13869697313","10175164458178900,0000000","1,01751644582","10483119348147400,0000000","1,0483119348"
0.45,"11464332517949900,0000000","1,14643325179","10143916994202900,0000000","1,01439169942","10451662823654900,0000000","1,0451662824"
0.46,"11459497354016300,0000000","1,14594973540","10135398371656400,0000000","1,01353983717","10309169094218300,0000000","1,0309169094"
47.000.000.000.000.000,"11420706561630500,0000000","1,14207065616","10111079356704200,0000000","1,01110793567","10308203040721100,0000000","1,0308203041"
0.48,"11390614736590000,0000000","1,13906147366","10052798452710500,0000000","1,00527984527","10307040213338300,0000000","1,0307040213"
0.49,"11376940124804900,0000000","1,13769401248","10044394413794500,0000000","1,00443944138","10303377076681000,0000000","1,0303377077"
0.5,"11377001341125500,0000000","1,13770013411","10055876731964000,0000000","1,00558767320","10308149163955200,0000000","1,0308149164"
0.51,"11348430587851800,0000000","1,13484305879","10190185448274000,0000000","1,01901854483","10400170235105900,0000000","1,0400170235"
0.52,"11363803408474800,0000000","1,13638034085","10150332627749400,0000000","1,01503326277","10441074788234000,0000000","1,0441074788"
0.53,"11376816267209300,0000000","1,13768162672","10082223166167200,0000000","1,00822231662","10449549561247000,0000000","1,0449549561"
0.54,"11188022581300100,0000000","1,11880225813","10094546479574100,0000000","1,00945464796","10535947073766700,0000000","1,0535947074"
0.55,"11119775232630100,0000000","1,11197752326","10094188509249000,0000000","1,00941885092","10437283440027200,0000000","1,0437283440"
0.56,"11165356492351600,0000000","1,11653564924","10101582810077300,0000000","1,01015828101","10392784601761000,0000000","1,0392784602"
5.700.000.000.000.000,"11236513801785300,0000000","1,12365138018","10070889762215600,0000000","1,00708897622","10347616713150000,0000000","1,0347616713"
0.58,"11327246652431200,0000000","1,13272466524","10048819414614600,0000000","1,00488194146","10397184221874500,0000000","1,0397184222"
0.59,"11324812207236100,0000000","1,13248122072","10022673966887200,0000000","1,00226739669","10428467437753300,0000000","1,0428467438"
0.6,"11305274397111600,0000000","1,13052743971","10003169595009900,0000000","1,00031695950","10433662226577000,0000000","1,0433662227"
0.61,"11396900835980100,0000000","1,13969008360","10011256796352900,0000000","1,00112567964","10409301651155900,0000000","1,0409301651"
0.62,"11407181283447300,0000000","1,14071812834","10037665110579500,0000000","1,00376651106","10403767551314700,0000000","1,0403767551"
0.63,"11432806012984400,0000000","1,14328060130","10038610532028600,0000000","1,00386105320","10423954356701700,0000000","1,0423954357"
0.64,"11437781931735000,0000000","1,14377819317","9946504994896030,0000000","0,99465049949","10440957411995000,0000000","1,0440957412"
0.65,"11418747522145100,0000000","1,14187475221","10007580582721500,0000000","1,00075805827","10452757645980700,0000000","1,0452757646"
